word,pos,cefr,theme
the,determiner,A2,General
of,preposition,A2,General
and,conjunction,A2,General
to,particle,A2,General
in,preposition,A2,General
is,verb,A2,General
for,preposition,A2,General
it,pronoun,A2,General
with,preposition,A2,General
be,verb,A2,General
by,preposition,A2,General
was,verb,A2,General
on,preposition,A2,General
that,preposition,A2,General
as,preposition,A2,General
not,adverb,A2,General
or,conjunction,A2,General
this,determiner,A2,General
are,verb,A2,General
from,preposition,A2,General
at,preposition,A2,General
he,pronoun,A2,General
that,determiner,A2,General
which,determiner,A2,General
an,determiner,A2,General
have,verb,A2,General
his,pronoun,A2,General
but,conjunction,A2,General
you,pronoun,A2,General
were,verb,A2,General
we,pronoun,A2,General
they,pronoun,A2,General
had,verb,A2,General
all,determiner,A2,General
has,verb,A2,General
their,pronoun,A2,General
been,verb,B1,General
will,verb,B1,General
can,verb,A2,General
one,noun,A2,General
if,preposition,A2,General
other,adjective,A2,General
would,verb,A2,General
her,pronoun,A2,General
when,adverb,A2,General
its,pronoun,A2,General
there,determiner,A2,General
these,determiner,A2,General
she,pronoun,A2,General
who,pronoun,A2,General
may,verb,A2,General
than,preposition,A2,General
any,determiner,A2,General
time,noun,A2,General
such,adjective,B1,General
do,verb,A2,General
no,determiner,A2,General
some,determiner,A2,General
also,adverb,A2,General
into,preposition,A2,General
what,pronoun,A2,General
two,noun,A2,General
them,pronoun,A2,General
my,pronoun,A2,General
so,adverb,B1,General
about,preposition,A2,General
him,pronoun,A2,General
only,adverb,A2,General
said,verb,B1,General
our,pronoun,A2,General
under,preposition,A2,General
should,verb,A2,General
as,adverb,A2,General
state,noun,B1,General
made,verb,B1,General
see,verb,A2,General
could,verb,A2,General
after,preposition,A2,General
more,adverb,B2,General
then,adverb,A2,General
between,preposition,A2,General
your,pronoun,A2,General
me,pronoun,A2,General
where,adverb,A2,General
each,determiner,A2,General
new,adjective,A2,General
more,adjective,A2,General
out,particle,A2,General
did,verb,A2,General
now,adverb,A2,General
years,noun,A2,General
those,determiner,A2,General
first,adjective,A2,General
many,adjective,A2,General
up,particle,A2,General
through,preposition,A2,General
shall,verb,B1,General
same,adjective,A2,General
must,verb,A2,General
new,noun,A2,General
very,adverb,A2,General
used,verb,B1,General
over,preposition,A2,General
because,preposition,A2,General
people,noun,A2,General
work,noun,A2,General
year,noun,A2,General
how,adverb,A2,General
being,verb,A2,General
part,noun,B1,General
during,preposition,B1,General
even,adverb,B1,General
states,noun,B2,General
before,preposition,A2,General
both,determiner,A2,General
well,adverb,A2,General
number,noun,A2,General
system,noun,B1,General
case,noun,A2,General
make,verb,A2,General
per,preposition,B2,General
way,noun,A2,General
upon,preposition,B1,General
section,noun,A2,General
however,adverb,B1,General
life,noun,A2,General
like,preposition,A2,General
government,noun,B1,General
water,noun,A2,General
most,adverb,B1,General
three,noun,A2,General
law,noun,B1,General
just,adverb,A2,General
act,noun,B1,General
order,noun,A2,General
without,preposition,B1,General
us,pronoun,A2,General
man,noun,A2,General
united,noun,C1,General
good,adjective,A2,General
court,noun,B1,General
use,noun,B1,General
does,verb,A2,General
while,preposition,B1,General
world,noun,A2,General
within,preposition,B1,General
information,noun,A2,General
here,adverb,A2,General
company,noun,B1,General
service,noun,B2,General
found,verb,C1,General
day,noun,A2,General
against,preposition,B1,General
own,adjective,A2,General
given,verb,B1,General
high,adjective,A2,General
know,verb,A2,General
development,noun,B2,General
another,determiner,A2,General
since,preposition,B1,General
power,noun,B1,General
university,noun,B1,General
data,noun,C1,General
school,noun,A2,General
take,verb,A2,General
different,adjective,A2,General
great,adjective,A2,General
research,noun,B1,General
large,adjective,A2,General
house,noun,A2,General
york,noun,A2,General
general,adjective,B2,General
city,noun,A2,General
small,adjective,A2,General
business,noun,A2,General
still,adverb,B1,General
men,noun,A2,General
might,verb,B1,General
get,verb,A2,General
every,determiner,A2,General
place,noun,A2,General
committee,noun,B1,General
area,noun,B1,General
group,noun,A2,General
too,adverb,A2,General
department,noun,B2,General
children,noun,A2,General
point,noun,A2,General
public,adjective,B2,General
important,adjective,A2,General
think,verb,A2,General
fact,noun,B1,General
value,noun,B1,General
education,noun,B1,General
last,adjective,B1,General
the,noun,A2,General
come,verb,A2,General
back,adverb,A2,General
period,noun,A2,General
control,noun,B1,General
report,noun,B1,General
go,verb,A2,General
program,noun,A2,General
office,noun,A2,General
so,preposition,A2,General
second,adjective,A2,General
few,adjective,B1,General
study,noun,B1,General
say,verb,A2,General
out,preposition,A2,General
end,noun,A2,General
health,noun,A2,General
interest,noun,B1,General
thus,adverb,B2,General
war,noun,A2,General
long,adjective,A2,General
much,adverb,A2,General
never,adverb,A2,General
services,noun,B2,General
board,noun,A2,General
