word_id,word,pos,cefr,theme,frequency_rank
word_0001_A2,the,determiner,A2,General,1
word_0002_A2,of,preposition,A2,General,2
word_0003_A2,and,conjunction,A2,General,3
word_0004_A2,to,particle,A2,General,4
word_0005_A2,in,preposition,A2,General,5
word_0006_A2,is,verb,A2,General,6
word_0007_A2,for,preposition,A2,General,7
word_0008_A2,it,pronoun,A2,General,8
word_0009_A2,with,preposition,A2,General,9
word_0010_A2,be,verb,A2,General,10
word_0011_A2,by,preposition,A2,General,11
word_0012_A2,was,verb,A2,General,12
word_0013_A2,on,preposition,A2,General,13
word_0014_A2,that,preposition,A2,General,14
word_0015_A2,as,preposition,A2,General,15
word_0016_A2,not,adverb,A2,General,16
word_0017_A2,or,conjunction,A2,General,17
word_0018_A2,this,determiner,A2,General,18
word_0019_A2,are,verb,A2,General,19
word_0020_A2,from,preposition,A2,General,20
word_0021_A2,at,preposition,A2,General,21
word_0022_A2,he,pronoun,A2,General,22
word_0023_A2,which,determiner,A2,General,23
word_0024_A2,an,determiner,A2,General,24
word_0025_A2,have,verb,A2,General,25
word_0026_A2,his,pronoun,A2,General,26
word_0027_A2,but,conjunction,A2,General,27
word_0028_A2,you,pronoun,A2,General,28
word_0029_A2,were,verb,A2,General,29
word_0030_A2,we,pronoun,A2,General,30
word_0031_A2,they,pronoun,A2,General,31
word_0032_A2,had,verb,A2,General,32
word_0033_A2,all,determiner,A2,General,33
word_0034_A2,has,verb,A2,General,34
word_0035_A2,their,pronoun,A2,General,35
word_0036_B1,been,verb,B1,General,36
word_0037_B1,will,verb,B1,General,37
word_0038_A2,can,verb,A2,General,38
word_0039_A2,one,noun,A2,General,39
word_0040_A2,if,preposition,A2,General,40
word_0041_A2,other,adjective,A2,General,41
word_0042_A2,would,verb,A2,General,42
word_0043_A2,her,pronoun,A2,General,43
word_0044_A2,when,adverb,A2,General,44
word_0045_A2,its,pronoun,A2,General,45
word_0046_A2,there,determiner,A2,General,46
word_0047_A2,these,determiner,A2,General,47
word_0048_A2,she,pronoun,A2,General,48
word_0049_A2,who,pronoun,A2,General,49
word_0050_A2,may,verb,A2,General,50
word_0051_A2,than,preposition,A2,General,51
word_0052_A2,any,determiner,A2,General,52
word_0053_A2,time,noun,A2,General,53
word_0054_B1,such,adjective,B1,General,54
word_0055_A2,do,verb,A2,General,55
word_0056_A2,no,determiner,A2,General,56
word_0057_A2,some,determiner,A2,General,57
word_0058_A2,also,adverb,A2,General,58
word_0059_A2,into,preposition,A2,General,59
word_0060_A2,what,pronoun,A2,General,60
word_0061_A2,two,noun,A2,General,61
word_0062_A2,them,pronoun,A2,General,62
word_0063_A2,my,pronoun,A2,General,63
word_0064_B1,so,adverb,B1,General,64
word_0065_A2,about,preposition,A2,General,65
word_0066_A2,him,pronoun,A2,General,66
word_0067_A2,only,adverb,A2,General,67
word_0068_B1,said,verb,B1,General,68
word_0069_A2,our,pronoun,A2,General,69
word_0070_A2,under,preposition,A2,General,70
word_0071_A2,should,verb,A2,General,71
word_0072_B1,state,noun,B1,General,72
word_0073_B1,made,verb,B1,General,73
word_0074_A2,see,verb,A2,General,74
word_0075_A2,could,verb,A2,General,75
word_0076_A2,after,preposition,A2,General,76
word_0077_B2,more,adverb,B2,General,77
word_0078_A2,then,adverb,A2,General,78
word_0079_A2,between,preposition,A2,General,79
word_0080_A2,your,pronoun,A2,General,80
word_0081_A2,me,pronoun,A2,General,81
word_0082_A2,where,adverb,A2,General,82
word_0083_A2,each,determiner,A2,General,83
word_0084_A2,new,adjective,A2,General,84
word_0085_A2,more,adjective,A2,General,85
word_0086_A2,out,particle,A2,General,86
word_0087_A2,did,verb,A2,General,87
word_0088_A2,now,adverb,A2,General,88
word_0089_A2,years,noun,A2,General,89
word_0090_A2,those,determiner,A2,General,90
word_0091_A2,first,adjective,A2,General,91
word_0092_A2,many,adjective,A2,General,92
word_0093_A2,up,particle,A2,General,93
word_0094_A2,through,preposition,A2,General,94
word_0095_B1,shall,verb,B1,General,95
word_0096_A2,same,adjective,A2,General,96
word_0097_A2,must,verb,A2,General,97
word_0098_A2,very,adverb,A2,General,98
word_0099_B1,used,verb,B1,General,99
word_0100_A2,over,preposition,A2,General,100
word_0101_A2,because,preposition,A2,General,101
word_0102_A2,people,noun,A2,General,102
word_0103_A2,work,noun,A2,General,103
word_0104_A2,year,noun,A2,General,104
word_0105_A2,how,adverb,A2,General,105
word_0106_A2,being,verb,A2,General,106
word_0107_B1,part,noun,B1,General,107
word_0108_B1,during,preposition,B1,General,108
word_0109_B1,even,adverb,B1,General,109
word_0110_B2,states,noun,B2,General,110
word_0111_A2,before,preposition,A2,General,111
word_0112_A2,both,determiner,A2,General,112
word_0113_A2,well,adverb,A2,General,113
word_0114_A2,number,noun,A2,General,114
word_0115_B1,system,noun,B1,General,115
word_0116_A2,case,noun,A2,General,116
word_0117_A2,make,verb,A2,General,117
word_0118_B2,per,preposition,B2,General,118
word_0119_A2,way,noun,A2,General,119
word_0120_B1,upon,preposition,B1,General,120
word_0121_A2,section,noun,A2,General,121
word_0122_B1,however,adverb,B1,General,122
word_0123_A2,life,noun,A2,General,123
word_0124_A2,like,preposition,A2,General,124
