word,source_rank,zipf,band,flags
lumpish,8,0.0,unknown,zipf0_notfound
dissatisfactory,38,0.0,unknown,zipf0_notfound
blockish,40,0.0,unknown,zipf0_notfound
misemploy,43,0.0,unknown,zipf0_notfound
inapparent,133,0.0,unknown,zipf0_notfound
bestrewn,211,0.0,unknown,inflection->bestrew|zipf0_notfound
reluctancy,416,0.0,unknown,zipf0_notfound
stretchability,543,0.0,unknown,zipf0_notfound
coarsen,581,0.0,unknown,zipf0_notfound
sidesplitting,592,0.0,unknown,zipf0_notfound
demount,615,0.0,unknown,zipf0_notfound
naysay,666,0.0,unknown,zipf0_notfound
retinite,688,0.0,unknown,zipf0_notfound
misusage,713,0.0,unknown,zipf0_notfound
slaphappy,791,0.0,unknown,zipf0_notfound
inconsequent,885,0.0,unknown,zipf0_notfound
prearrange,908,0.0,unknown,zipf0_notfound
parenthesize,1114,0.0,unknown,zipf0_notfound
twittery,1182,0.0,unknown,zipf0_notfound
sinkage,1335,0.0,unknown,zipf0_notfound
pettish,1369,0.0,unknown,zipf0_notfound
dumbfound,1509,0.0,unknown,zipf0_notfound
shuddery,1600,0.0,unknown,zipf0_notfound
soporiferous,1803,0.0,unknown,zipf0_notfound
effloresce,1825,0.0,unknown,zipf0_notfound
coruscate,1826,0.0,unknown,zipf0_notfound
besot,1831,0.0,unknown,zipf0_notfound
dipsomania,1835,0.0,unknown,zipf0_notfound
necrologist,1836,0.0,unknown,zipf0_notfound
clangorous,1838,0.0,unknown,zipf0_notfound
corrigible,1845,0.0,unknown,zipf0_notfound
inculpable,1848,0.0,unknown,zipf0_notfound
glomerate,1851,0.0,unknown,zipf0_notfound
enigmatical,1857,0.0,unknown,zipf0_notfound
lucubration,1864,0.0,unknown,zipf0_notfound
pedate,1867,0.0,unknown,zipf0_notfound
capacitate,1882,0.0,unknown,zipf0_notfound
sudoriferous,1885,0.0,unknown,zipf0_notfound
discommode,1898,0.0,unknown,zipf0_notfound
pretermit,1900,0.0,unknown,zipf0_notfound
inconsumable,2016,0.0,unknown,zipf0_notfound
expendability,2046,0.0,unknown,zipf0_notfound
